000000003010000,01/01/1998 
000000003011000,01/01/1999 
000000003012000,01/01/1999 
000000003013000,01/01/1999 
000000003014000,01/01/2007 
000000003015000,01/01/2007 
000000003074000,01/01/2008 
000000003080000,01/01/2007 
000000003093000,01/01/2008 
000000003118000,01/01/2007 
000000003121000,01/01/2007 
000000003123000,01/01/2005 
000000003129000,01/01/2008 
000000003134000,01/01/2006 
000000003137000,01/01/2008 
000000003140000,01/01/2007 
000000003144000,01/01/2007 
000000003155000,01/01/2007 
000000003187000,01/01/2007 
000000003199000,01/01/2006 
000000003223000,01/01/2007 
000000003230000,01/01/2007 
000000003271000,01/01/2008 
000000003274000,01/01/2008 
000000003277000,01/01/2006 
000000003287000,01/01/2008 
000000003296000,01/01/2004 
000000003316000,01/01/2008 
000000003320000,01/01/2007 
000000003322000,01/01/2008 
000000003323000,01/01/2008 
000000003353000,01/01/2008 
000000003364,01/01/2007 
000000003364000,01/01/2006 
000000003365000,01/01/2008 
000000003372000,01/01/2008 
000000003435000,01/01/2006 
000000003437000,01/01/2008 
000000003444000,01/01/2008 
000000003454000,01/01/2002 
000000003458000,01/01/2008 
000000003478000,01/01/2007 
000000003481000,01/01/2006 
000000003485000,01/01/2007 
00000000349000,01/01/2007 
000000003491000,01/01/2007 
000000003492000,01/01/2007 
000000003497000,01/01/2008 
000000004182000,01/01/2006 
000000004191000,01/01/2008 
000000004290000,01/01/2008 
000000004294000,01/01/2006 
000000004295000,01/01/2008 
000000006040000,01/01/2007 
00000001679000,01/01/2004 
0000000512000,01/01/2005 
000100003229000,01/01/2006 
000100010001000,01/01/1998 
000100010002000,01/01/2009 
000100010003000,01/01/1999 
000100010004000,01/01/2000 
000100010005000,01/01/1999 
000100010006000,01/01/1998 
000100010007000,01/01/2010 
000100010008000,01/01/2010 
000100010009000,01/01/2005 
000100010010000,01/01/1998 
000100010011000,01/01/2001 
000100010012000,01/01/1998 
000100010013000,01/01/1998 
000100010014000,01/01/2010 
000100010015000,01/01/2009 
000100010016000,01/01/2005 
000100010017000,01/01/2010 
000100010018000,01/01/2008 
000100010019000,01/01/1998 
000100010020000,01/01/1998 
000100010021000,01/01/2010 
000100010022000,01/01/2008 
000100010023000,01/01/1998 
000100010024000,01/01/2001 
000100010025000,01/01/2010 
000100010026000,01/01/1998 
000100010027000,01/01/2004 
000100010028000,01/01/2002 
000100010029000,01/01/1998 
000100010030000,01/01/2002 
000100010031000,01/01/1998 
000100010032000,01/01/1999 
000100010033000,01/01/2005 
000100010034000,01/01/2004 
000100010034001,01/01/1998 
000100010034002,01/01/2008 
000100010035000,01/01/2010 
000100010036000,01/01/1999 
000100010037000,01/01/1998 
000100010039000,01/01/2003 
000100010040000,01/01/2002 
000100010041000,01/01/1998 
000100010042000,01/01/2007 
000100010043000,01/01/1999 
000100010044000,01/01/1998 
000100010045000,01/01/1999 
000100010046000,01/01/2010 
000100010047000,01/01/2008 
000100010048000,01/01/2003 
000100010049000,01/01/1998 
000100010050000,01/01/2009 
000100010051000,01/01/2010 
000100010052000,01/01/2000 
000100010053000,01/01/2009 
000100010054000,01/01/2007 
000100010055000,01/01/1999 
000100010056000,01/01/2009 
000100010057000,01/01/2003 
000100010058000,01/01/2009 
000100010059000,01/01/2008 
000100010061000,01/01/2010 
000100010062000,01/01/2010 
000100010063000,01/01/2010 
000100010064000,01/01/2010 
000100010065000,01/01/2003 
000100010066000,01/01/2008 
000100010067000,01/01/2010 
000100010068000,01/01/2008 
000100010069000,01/01/2010 
000100010070000,01/01/2008 
000100010071000,01/01/2008 
000100010072000,01/01/1998 
000100010073000,01/01/2010 
000100010074000,01/01/2010 
000100010075000,01/01/2004 
000100010076000,01/01/2007 
000100010077000,01/01/2009 
000100010078000,01/01/2010 
000100010079000,01/01/2004 
000100010080000,01/01/2005 
000100010081000,01/01/2006 
000100010082000,01/01/2001 
000100010083000,01/01/1998 
000100010084000,01/01/1999 
000100010085000,01/01/2007 
000100010086000,01/01/2002 
000100010087000,01/01/2005 
000100010088000,01/01/2002 
000100010090000,01/01/2009 
000100010091000,01/01/2010 
000100010092000,01/01/2006 
000100010093000,01/01/2008 
000100010094000,01/01/2009 
000100010095000,01/01/1999 
000100010096000,01/01/2008 
000100010097000,01/01/2005 
000100010098000,01/01/2003 
000100010099000,01/01/2010 
000100010100000,01/01/2006 
000100010101000,01/01/2007 
000100010102000,01/01/2008 
000100010103000,01/01/2008 
000100010104000,01/01/2003 
000100010105000,01/01/2009 
000100010106000,01/01/2003 
000100010107000,01/01/2009 
000100010108000,01/01/2003 
000100010109000,01/01/2003 
000100010110000,01/01/2008 
000100010111000,01/01/2003 
000100010112000,01/01/2007 
000100010113000,01/01/2003 
000100010114000,01/01/2003 
000100010115000,01/01/2003 
000100010116000,01/01/2003 
000100010117000,01/01/2003 
000100010118000,01/01/2007 
000100010119000,01/01/2010 
000100010120000,01/01/2006 
000100010121000,01/01/2003 
000100010122000,01/01/2003 
000100010123000,01/01/2003 
000100010124000,01/01/2008 
000100010125000,01/01/2003 
000100010126000,01/01/2003 
000100010127000,01/01/2006 
000100010128000,01/01/2006 
000100010129000,01/01/2003 
000100010130000,01/01/2006 
000100010131000,01/01/2003 
000100010132000,01/01/2003 
000100010133000,01/01/2010 
000100010134000,01/01/2003 
000100010135000,01/01/2010 
000100010136000,01/01/2009 
000100010137000,01/01/2003 
000100010138000,01/01/2003 
000100010139000,01/01/2003 
000100010140000,01/01/2001 
000100010141000,01/01/2002 
000100010142000,01/01/2002 
000100010143000,01/01/2002 
000100010144000,01/01/2010 
000100010145000,01/01/2002 
000100010146000,01/01/2009 
000100010147000,01/01/2007 
000100010148000,01/01/2009 
000100010149000,01/01/2002 
000100010150000,01/01/2010 
000100010151000,01/01/2010 
000100010153000,01/01/2002 
000100010154000,01/01/2002 
000100010155000,01/01/2002 
000100010156000,01/01/2002 
000100010157000,01/01/2002 
000100010158000,01/01/2002 
000100010159000,01/01/2002 
000100010160000,01/01/2002 
000100010161000,01/01/2002 
000100010162000,01/01/2002 
000100010163000,01/01/2002 
000100010164000,01/01/2002 
000100010165000,01/01/2002 
000100010166000,01/01/2002 
000100010167000,01/01/2002 
000100010168000,01/01/2002 
000100010169000,01/01/2002 
000100010170000,01/01/2002 
000100010171000,01/01/2002 
000100010172000,01/01/2002 
000100010173000,01/01/2002 
000100010174000,01/01/2002 
000100010175000,01/01/2002 
000100010176000,01/01/2002 
000100010177000,01/01/2002 
000100010178000,01/01/2002 
000100010179000,01/01/2002 
000100010180000,01/01/2002 
000100010181000,01/01/2002 
000100010182000,01/01/2002 
000100010183000,01/01/2002 
000100010184000,01/01/2002 
000100010185000,01/01/2005 
000100010186000,01/01/2010 
