Autoid;CUP;Valor;Compania
2001;906010;7375;CLINICA SAN JUAN DE DIOS
2001;901203;30720;CLINICA SAN JUAN DE DIOS
2001;906012;16015;CLINICA SAN JUAN DE DIOS
2001;906013;26515;CLINICA SAN JUAN DE DIOS
2001;905715;13030;CLINICA SAN JUAN DE DIOS
2001;903603;20835;CLINICA SAN JUAN DE DIOS
2001;903811;3310;CLINICA SAN JUAN DE DIOS
2001;903604;32695;CLINICA SAN JUAN DE DIOS
2001;903810;3450;CLINICA SAN JUAN DE DIOS
2001;906621;33570;CLINICA SAN JUAN DE DIOS
2001;903004;7645;CLINICA SAN JUAN DE DIOS
2001;903005;7645;CLINICA SAN JUAN DE DIOS
2001;906802;12540;CLINICA SAN JUAN DE DIOS
2001;906015;45780;CLINICA SAN JUAN DE DIOS
2001;905717;14425;CLINICA SAN JUAN DE DIOS
2001;903812;13205;CLINICA SAN JUAN DE DIOS
2001;905718;28340;CLINICA SAN JUAN DE DIOS
2001;905719;28340;CLINICA SAN JUAN DE DIOS
2001;905207;20505;CLINICA SAN JUAN DE DIOS
2001;908202;15200;CLINICA SAN JUAN DE DIOS
2001;908203;10420;CLINICA SAN JUAN DE DIOS
2001;906408;32225;CLINICA SAN JUAN DE DIOS
2001;906409;32285;CLINICA SAN JUAN DE DIOS
2001;903006;8290;CLINICA SAN JUAN DE DIOS
2001;903007;45585;CLINICA SAN JUAN DE DIOS
2001;903008;45585;CLINICA SAN JUAN DE DIOS
2001;902101;5575;CLINICA SAN JUAN DE DIOS
2001;906411;21300;CLINICA SAN JUAN DE DIOS
2001;906412;25835;CLINICA SAN JUAN DE DIOS
2001;906413;36230;CLINICA SAN JUAN DE DIOS
2001;903416;12060;CLINICA SAN JUAN DE DIOS
2001;903417;32680;CLINICA SAN JUAN DE DIOS
2001;904804;11945;CLINICA SAN JUAN DE DIOS
2001;906018;37995;CLINICA SAN JUAN DE DIOS
2001;906019;37995;CLINICA SAN JUAN DE DIOS
2001;906020;37995;CLINICA SAN JUAN DE DIOS
2001;906021;37995;CLINICA SAN JUAN DE DIOS
2001;906307;37995;CLINICA SAN JUAN DE DIOS
2001;906308;17810;CLINICA SAN JUAN DE DIOS
2001;905721;10965;CLINICA SAN JUAN DE DIOS
2001;905502;56630;CLINICA SAN JUAN DE DIOS
2001;906107;44235;CLINICA SAN JUAN DE DIOS
2001;906109;18930;CLINICA SAN JUAN DE DIOS
2001;906205;17000;CLINICA SAN JUAN DE DIOS
2001;906206;17640;CLINICA SAN JUAN DE DIOS
2001;906414;55875;CLINICA SAN JUAN DE DIOS
2001;906415;55875;CLINICA SAN JUAN DE DIOS
2001;M19217;171780;CLINICA SAN JUAN DE DIOS
2001;M19218;236945;CLINICA SAN JUAN DE DIOS
2001;903813;2870;CLINICA SAN JUAN DE DIOS
2001;903814;2755;CLINICA SAN JUAN DE DIOS
2001;905307;13030;CLINICA SAN JUAN DE DIOS
2001;901204;30720;CLINICA SAN JUAN DE DIOS
2001;901401;22810;CLINICA SAN JUAN DE DIOS
2001;905725;14425;CLINICA SAN JUAN DE DIOS
2001;905726;14425;CLINICA SAN JUAN DE DIOS
2001;906111;15290;CLINICA SAN JUAN DE DIOS
2001;903815;5515;CLINICA SAN JUAN DE DIOS
2001;903816;5515;CLINICA SAN JUAN DE DIOS
2001;903817;23985;CLINICA SAN JUAN DE DIOS
2001;903818;4415;CLINICA SAN JUAN DE DIOS
2001;903418;36580;CLINICA SAN JUAN DE DIOS
2001;903419;11945;CLINICA SAN JUAN DE DIOS
2001;903420;13055;CLINICA SAN JUAN DE DIOS
2001;901104;4785;CLINICA SAN JUAN DE DIOS
2001;901102;8355;CLINICA SAN JUAN DE DIOS
2001;901103;2865;CLINICA SAN JUAN DE DIOS
2001;901107;2980;CLINICA SAN JUAN DE DIOS
2001;901101;5835;CLINICA SAN JUAN DE DIOS
2001;901109;11440;CLINICA SAN JUAN DE DIOS
2001;M19249;30720;CLINICA SAN JUAN DE DIOS
2001;906805;46465;CLINICA SAN JUAN DE DIOS
2001;906806;32075;CLINICA SAN JUAN DE DIOS
2001;906904;21300;CLINICA SAN JUAN DE DIOS
2001;906905;15495;CLINICA SAN JUAN DE DIOS
2001;906906;26710;CLINICA SAN JUAN DE DIOS
2001;906907;14890;CLINICA SAN JUAN DE DIOS
2001;906908;26710;CLINICA SAN JUAN DE DIOS
2001;911008;14850;CLINICA SAN JUAN DE DIOS
2001;902201;10165;CLINICA SAN JUAN DE DIOS
2001;902202;5875;CLINICA SAN JUAN DE DIOS
2001;902203;33130;CLINICA SAN JUAN DE DIOS
2001;901206;6360;CLINICA SAN JUAN DE DIOS
2001;907002;2980;CLINICA SAN JUAN DE DIOS
2001;907003;4635;CLINICA SAN JUAN DE DIOS
2001;903421;9255;CLINICA SAN JUAN DE DIOS
2001;903422;33175;CLINICA SAN JUAN DE DIOS
2001;907004;8355;CLINICA SAN JUAN DE DIOS
2001;904805;21300;CLINICA SAN JUAN DE DIOS
2001;904806;65345;CLINICA SAN JUAN DE DIOS
2001;904807;21300;CLINICA SAN JUAN DE DIOS
2001;904301;31335;CLINICA SAN JUAN DE DIOS
2001;904302;31335;CLINICA SAN JUAN DE DIOS
2001;904303;37535;CLINICA SAN JUAN DE DIOS
2001;901207;30720;CLINICA SAN JUAN DE DIOS
2001;903819;10440;CLINICA SAN JUAN DE DIOS
2001;903820;30520;CLINICA SAN JUAN DE DIOS
2001;903821;7460;CLINICA SAN JUAN DE DIOS
2001;903822;5170;CLINICA SAN JUAN DE DIOS
2001;903823;7065;CLINICA SAN JUAN DE DIOS
2001;903824;3125;CLINICA SAN JUAN DE DIOS
2001;903825;3095;CLINICA SAN JUAN DE DIOS
2001;E30109;13780;CLINICA SAN JUAN DE DIOS
2001;906909;4560;CLINICA SAN JUAN DE DIOS
2001;906112;12260;CLINICA SAN JUAN DE DIOS
2001;906314;29315;CLINICA SAN JUAN DE DIOS
2001;901208;13595;CLINICA SAN JUAN DE DIOS
2001;903826;2785;CLINICA SAN JUAN DE DIOS
2001;903827;2785;CLINICA SAN JUAN DE DIOS
2001;902102;4355;CLINICA SAN JUAN DE DIOS
2001;902103;22810;CLINICA SAN JUAN DE DIOS
2001;901209;12440;CLINICA SAN JUAN DE DIOS
2001;906701;217990;CLINICA SAN JUAN DE DIOS
2001;901211;45585;CLINICA SAN JUAN DE DIOS
2001;901212;44500;CLINICA SAN JUAN DE DIOS
2001;901213;11365;CLINICA SAN JUAN DE DIOS
2001;901214;35605;CLINICA SAN JUAN DE DIOS
2001;901215;26715;CLINICA SAN JUAN DE DIOS
2001;901218;25670;CLINICA SAN JUAN DE DIOS
2001;901216;35605;CLINICA SAN JUAN DE DIOS
2001;901217;14115;CLINICA SAN JUAN DE DIOS
2001;903423;24645;CLINICA SAN JUAN DE DIOS
2001;904809;27440;CLINICA SAN JUAN DE DIOS
2001;904808;35385;CLINICA SAN JUAN DE DIOS
2001;906207;29975;CLINICA SAN JUAN DE DIOS
2001;906208;29975;CLINICA SAN JUAN DE DIOS
2001;906209;33435;CLINICA SAN JUAN DE DIOS
2001;903011;57225;CLINICA SAN JUAN DE DIOS
2001;903424;21325;CLINICA SAN JUAN DE DIOS
2001;903828;5750;CLINICA SAN JUAN DE DIOS
2001;903829;61220;CLINICA SAN JUAN DE DIOS
2001;905602;15290;CLINICA SAN JUAN DE DIOS
2001;905605;19160;CLINICA SAN JUAN DE DIOS
2001;902010;31465;CLINICA SAN JUAN DE DIOS
2001;902011;31465;CLINICA SAN JUAN DE DIOS
2001;902104;29625;CLINICA SAN JUAN DE DIOS
2001;902105;17265;CLINICA SAN JUAN DE DIOS
2001;903012;11225;CLINICA SAN JUAN DE DIOS
2001;E19340;13030;CLINICA SAN JUAN DE DIOS
2001;906417;15090;CLINICA SAN JUAN DE DIOS
2001;906418;26595;CLINICA SAN JUAN DE DIOS
